flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,submissionTime,versionId,linkedEvents,duration_minutes,flare_class,risk_level,hour,day,month,year,day_of_week,magnitude,flare_class_encoded
2024-02-02T16:22:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-02 16:22:00+00:00,2024-02-02 16:32:00+00:00,2024-02-02 16:38:00+00:00,C3.1,S20E55,13571.0,2024-02-03 21:54:00+00:00,1,[{'activityID': '2024-02-02T17:09:00-CME-001'}],16.0,C,1,16,2,2,2024,4,3.1,0
2024-02-04T11:40:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-04 11:40:00+00:00,2024-02-04 11:53:00+00:00,2024-02-04 12:08:00+00:00,M1.4,S17E79,13576.0,2024-02-04 14:34:00+00:00,1,,28.0,M,2,11,4,2,2024,6,1.4,1
2024-02-04T16:22:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-04 16:22:00+00:00,2024-02-04 16:38:00+00:00,2024-02-04 16:46:00+00:00,M1.5,S17E75,13576.0,2024-02-04 17:50:00+00:00,1,,24.0,M,2,16,4,2,2024,6,1.5,1
2024-02-04T17:05:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-04 17:05:00+00:00,2024-02-04 17:12:00+00:00,2024-02-04 17:19:00+00:00,M1.3,S17E74,13576.0,2024-02-04 17:52:00+00:00,1,,14.0,M,2,17,4,2,2024,6,1.3,1
2024-02-04T18:16:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-04 18:16:00+00:00,2024-02-04 18:29:00+00:00,2024-02-04 18:43:00+00:00,M1.1,S18E73,13576.0,2024-02-04 19:10:00+00:00,1,,27.0,M,2,18,4,2,2024,6,1.1,1
2024-02-04T20:52:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-04 20:52:00+00:00,2024-02-04 20:57:00+00:00,2024-02-04 21:01:00+00:00,M1.2,S19E85,13576.0,2024-02-04 21:27:00+00:00,2,,9.0,M,2,20,4,2,2024,6,1.2,1
2024-02-04T22:20:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-04 22:20:00+00:00,2024-02-04 22:28:00+00:00,2024-02-04 22:34:00+00:00,M2.1,S14E87,13576.0,2024-02-04 22:45:00+00:00,2,,14.0,M,2,22,4,2,2024,6,2.1,1
2024-02-04T22:34:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-04 22:34:00+00:00,2024-02-04 22:37:00+00:00,2024-02-04 22:42:00+00:00,M2.7,S14E86,13576.0,2024-02-04 22:49:00+00:00,1,,8.0,M,2,22,4,2,2024,6,2.7,1
2024-02-05T04:13:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-05 04:13:00+00:00,2024-02-05 04:28:00+00:00,2024-02-05 04:44:00+00:00,M2.1,S16E73,13576.0,2024-02-05 14:45:00+00:00,1,,31.0,M,2,4,5,2,2024,0,2.1,1
2024-02-05T06:10:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-05 06:10:00+00:00,2024-02-05 06:22:00+00:00,2024-02-05 06:26:00+00:00,M1.4,S21E75,13576.0,2024-02-05 13:44:00+00:00,1,[{'activityID': '2024-02-05T07:48:00-CME-001'}],16.0,M,2,6,5,2,2024,0,1.4,1
2024-02-06T02:15:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-06 02:15:00+00:00,2024-02-06 02:28:00+00:00,2024-02-06 02:37:00+00:00,M2.2,S34W65,13575.0,2024-02-06 02:53:00+00:00,2,"[{'activityID': '2024-02-06T02:53:00-CME-001'}, {'activityID': '2024-02-06T05:25:00-SEP-001'}, {'activityID': '2024-02-06T07:28:00-SEP-001'}]",22.0,M,2,2,6,2,2024,1,2.2,1
2024-02-06T02:37:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-06 02:37:00+00:00,2024-02-06 03:12:00+00:00,2024-02-06 03:37:00+00:00,M4.2,S34W65,13575.0,2024-02-06 03:43:00+00:00,3,"[{'activityID': '2024-02-06T02:53:00-CME-001'}, {'activityID': '2024-02-06T05:25:00-SEP-001'}, {'activityID': '2024-02-06T07:28:00-SEP-001'}]",60.0,M,2,2,6,2,2024,1,4.2,1
2024-02-06T18:38:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-02-06 18:38:00+00:00,2024-02-06 18:49:00+00:00,2024-02-06 19:07:00+00:00,M1.3,S36W72,13575.0,2024-02-06 20:13:00+00:00,2,[{'activityID': '2024-02-06T19:12:00-CME-001'}],29.0,M,2,18,6,2,2024,1,1.3,1
