flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,submissionTime,versionId,link,linkedEvents,sentNotifications
2024-11-05T06:35:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-05T06:35Z,2024-11-05T06:54Z,2024-11-05T07:08Z,M2.6,S07E85,13889.0,,2024-11-08T13:57Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34423/-1,[{'activityID': '2024-11-05T07:36:00-CME-001'}],
2024-11-05T09:11:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-05T09:11Z,2024-11-05T09:23Z,2024-11-05T09:49Z,M1.0,S07E28,13883.0,,2024-11-05T15:16Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34424/-1,,
2024-11-05T13:28:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-05T13:28Z,2024-11-05T13:39Z,2024-11-05T13:54Z,M1.2,S08E28,13883.0,,2024-11-05T14:11Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34425/-1,,
2024-11-05T13:58:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-05T13:58Z,2024-11-05T14:19Z,2024-11-05T14:27Z,M2.9,S08E28,13883.0,Double peaked flare with the M1.2 flare peaking at 2024-11-05T13:39Z from AR 3883.,2024-11-05T14:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34430/-1,,
2024-11-05T15:05:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-05T15:05Z,2024-11-05T15:26Z,2024-11-05T15:43Z,M4.1,S15W88,13872.0,,2024-11-05T17:07Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34433/-1,[{'activityID': '2024-11-05T16:09:00-CME-001'}],
2024-11-06T02:28:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T02:28Z,2024-11-06T02:38Z,2024-11-06T02:46Z,M1.1,S06E15,13883.0,,2024-11-06T02:51Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34439/-1,,
2024-11-06T03:02:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T03:02Z,2024-11-06T03:09Z,2024-11-06T03:14Z,M1.2,S06E15,13883.0,,2024-11-06T12:11Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34443/-1,,
2024-11-06T07:36:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T07:36Z,2024-11-06T08:04Z,2024-11-06T08:23Z,M2.9,S06E15,13883.0,,2024-11-06T12:12Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34444/-1,,
2024-11-06T08:48:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T08:48Z,2024-11-06T08:50Z,2024-11-06T08:54Z,M5.8,N16W60,13887.0,,2024-11-06T12:04Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34440/-1,,"[{'messageID': '20241106-AL-001', 'messageIssueTime': '2024-11-06T08:53Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34441/1'}, {'messageID': '20241106-AL-002', 'messageIssueTime': '2024-11-06T12:05Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34442/1'}]"
2024-11-06T11:56:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-06T11:56Z,2024-11-06T12:04Z,2024-11-06T12:10Z,M1.5,S06E15,13883.0,"Simultaneous flaring from an unnumbered region on the east limb, around latitude S10.",2024-11-06T12:15Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34445/-1,,
